RUTA C9-004
"Carrera 48 #132 Sur-70, Caldas"
"Carrera 48, 133 Sur, Caldas"
"Carrera 48 #132 Sur-20, Caldas"
"Carrera 48, 131 Sur, Caldas"
"Calle 130 Sur #45-20, Caldas"
"Calle 130 Sur, 44A, Caldas"
"Calle 127 Sur #46-50, Caldas"
"Caldas - Estación Metro Estrella"
"Calle 125 Sur #48-30, Caldas"
"Calle 123 Sur, Caldas-Tablaza"
"Carrera 50 #122 Sur-20, Caldas"
"Carrera 50, 121 Sur, Caldas-Tablaza, Bomba Zeuss"
"Carrera 50A #119 Sur-50, Caldas"
"Carrera 50B, 117 Sur, Caldas-Tablaza, Uni Lasallista"
"Carrera 50 #117 Sur-20, Caldas"
"Carrera 50, 117 Sur, Caldas-Tablaza"
"Carrera 50 #115 Sur-30, Caldas"
"Carrera 50, 113 Sur, Caldas-Tablaza"
"Carrera 50 #111 Sur-40, Caldas"
"Carrera 50, 110 Sur, Caldas-Tablaza"
"Carrera 50 #108 Sur-30, Caldas"
"Carrera 50, 106 Sur, Caldas-Tablaza"
"Carrera 50 #103 Sur-90, Caldas"
"Carrera 50, 100C Sur, Caldas-Tablaza, Gloria Real"
"Carrera 50 #100 Sur-70, Tablaza"
"Calle 100B Sur, 49CC, Tablaza, Café Blanco Y Negro"
"Calle 100 Sur #49D-10, Tablaza"
"Calle 99 Sur, 49D, Tablaza"
"Calle 98 Sur #50-10, Tablaza"
"Carrera 51, 398"
"Carrera 50 #98 Sur-40, Tablaza"
"Carrera 50, 97B Sur 557"
"Calle 97B Sur #50-20, Tablaza"
"Calle 97B Sur, 50-40"
"Calle 96 Sur #50-42, Tablaza"
"Calle 96 Sur, 50-43"
"Calle 95 Sur #50-10, Tablaza"
"Calle 95 Sur, 49D, Bar La Vuelta De La Vida"
"Calle 94 Sur #49E-10, Tablaza"
"Calle 94 Sur, 50, Restaurante La Parrilla Del Mono"
"Carrera 49D #94 Sur-12, Tablaza"
"Carrera 49D, 94 Sur24"
"Carrera 50 #92 Sur-30, Tablaza"
"Carrera 50, 91 Sur190"
"Calle 91 Sur #50A-10, Tablaza"
"Calle 90B Sur, 50A-22"
"Calle 89 Sur #50-80, La Estrella"
"Calle 88AA Sur, 50-103"
"Carrera 50 #86 Sur-40, La Estrella"
"Carrera 50, 83C Sur282"
"Carrera 50 #82 Sur-10, La Estrella"
"Carrera 50, 80 Sur148"
"Carrera 50 #80 Sur-70, La Estrella"
"Estación Metro Estrella Buses"
"Autopista Sur #79 Sur-80, La Estrella"
"Autopista Sur, 79 Sur129"
"Carrera 50 #80 Sur-20, La Estrella"
"Carrera 50, 80 Sur1"
"Carrera 50 #80 Sur-180, La Estrella"
"Carrera 50, 80 Sur343"
"Carrera 50 #82 Sur-20, La Estrella"
"Carrera 50, 83C Sur282"
"Carrera 50 #87 Sur-10, La Estrella"
"Calle 90B Sur, 50A-22"
"Carrera 50 #91 Sur-40, Tablaza"
"Carrera 50, 91 Sur190"
"Calle 93 Sur #50-20, Tablaza"
"Calle 94 Sur, 50, Restaurante La Parrilla Del Mono"
"Calle 94 Sur #49D-60, Tablaza"
"Calle 95 Sur, 49D, Bar La Vuelta De La Vida"
"Calle 95 Sur #50-20, Tablaza"
"Calle 96 Sur, 50-43"
"Calle 97 Sur #50-30, Tablaza"
"Calle 97B Sur, 50-40"
"Carrera 50 #97B Sur-300, Tablaza"
"Carrera 50, 97B Sur557"
"Carrera 50 #98 Sur-10, Tablaza"
"Carrera 51, 398"
"Calle 99 Sur #49E-10, Tablaza"
"Calle 99 Sur, 49D, Tablaza"
"Calle 100 Sur #49CC-20, Tablaza"
"Calle 100B Sur, 49CC, Tablaza, Café Blanco Y Negro"
"Carrera 50 #100C Sur-20, Tablaza"
"Carrera 50, 100C Sur, Caldas-Tablaza, Gloria Real"
"Carrera 50 #103 Sur-40, Caldas"
"Carrera 50, 106 Sur, Caldas-Tablaza"
"Carrera 50 #108 Sur-10, Caldas"
"Carrera 50, 109 Sur, Caldas-Tablaza"
"Carrera 50 #111 Sur-10, Caldas"
"Carrera 50, 113 Sur, Caldas-Tablaza"
"Carrera 50 #115 Sur-10, Caldas"
"Carrera 50, 117 Sur, Caldas-Tablaza"
"Carrera 50A #117 Sur-60, Caldas"
"Carrera 50B, 117 Sur, Caldas-Tablaza, Uni Lasallista"
"Carrera 50 #120 Sur-10, Caldas"
"Calle 123 Sur, Caldas-Tablaza"
"Calle 126 Sur #48-20, Caldas"
"Caldas - Estación Metro Estrella"
"Calle 129 Sur #48-40, Caldas"
"Angelópolis - Caldas, 128 Sur2-128 Sur96"
"Calle 130 Sur #49-10, Caldas"
"Calle 132 Sur, Caldas, El Consumo"
