RUTA C9-003
"Carrera 50 #148 Sur-20, Caldas"
"Sta Barbara-Caldas, Estación Primavera"
"Carrera 50 #147 Sur-50, Caldas"
"Sena La Salada"
"Carrera 50 #146 Sur-80, Caldas"
"Carrera 50, 146 Sur, Sta Barbara-Caldas, Primavera"
"Carrera 50 #146 Sur-40, Caldas"
"Carrera 50, 146 Sur, Sta Barbara-Caldas"
"Carrera 50 #145 Sur-90, Caldas"
"Carrera 50, 146 Sur, Sta Barbara-Caldas, Ind Ramo"
"Carrera 50 #144 Sur-50, Caldas"
"Carrera 50, 142 Sur, Caldas"
"Carrera 50 #141 Sur-30, Caldas"
"Carrera 50, 140 Sur, Caldas"
"Carrera 50 #138 Sur-80, Caldas"
"Carrera 50, 137 Sur, Caldas"
"Carrera 50 #136 Sur-50, Caldas"
"Carrera 50, 136 Sur, Caldas, Cementerio"
"Carrera 49 #134 Sur-20, Caldas"
"Carrera 48, 133 Sur, Caldas"
"Carrera 48 #132 Sur-10, Caldas"
"Carrera 48, 131 Sur, Caldas"
"Calle 130 Sur #46-20, Caldas"
"Calle 130 Sur, 44A, Caldas"
"Carrera 45 #123 Sur-40, Variante Caldas"
"Carrera 45, 117 Sur, Variante Caldas"
"Carrera 45 #109 Sur-60, Variante Caldas"
"Calle 101 Sur, Variante Caldas"
"Carrera 48 #100 Sur-20, Variante Caldas"
"Carrera 48, 99 Sur, Variante Caldas, Le Bon"
"Carrera 48 #98B Sur-40, Variante Caldas"
"Carrera 48, 98A Sur, Bodegas De Escocia"
"Carrera 48 #98A Sur-10, Variante Caldas"
"Carrera 48, 98A Sur, Cobra"
"Calle 91 Sur #42-30, La Estrella"
"Calle 84 Sur, 282"
"Calle 84 Sur #1500, La Estrella"
"Calle 84 Sur, 2886"
"Calle 84 Sur #3100, La Estrella"
"Calle 84 Sur, 33-320"
"Calle 84 Sur #3700, La Estrella"
"Calle 84 Sur, 40527"
"Autopista Sur #82 Sur-50, La Estrella"
"Estación Metro Estrella Buses"
"Autopista Sur #80 Sur-20, La Estrella"
"Autopista Sur, 79 Sur129"
"Calle 84 Sur #40530, La Estrella"
"Calle 84 Sur, 40535"
"Calle 84 Sur #40480, La Estrella"
"Calle 84 Sur, Ancón Sur EPM"
"Calle 84 Sur #40420, La Estrella"
"Calle 84 Sur, Bomba Texaco"
"Calle 84 Sur #40350, La Estrella"
"Calle 84 Sur, Bomba Terpel"
"Calle 84 Sur #40280, La Estrella"
"Cl 84 Sur, Restaurante El Cafetal"
"Carrera 48 #99 Sur-20, Variante Caldas"
"Carrera 48, 99 Sur, Bodegas Escocia"
"Variante Caldas Km 1+200"
"Variante Caldas, Bomba Esso"
"Variante Caldas Km 2+000"
"Variante Caldas, Rest El Ventilador"
"Calle 130 Sur #47-50, Caldas"
"Angelópolis - Caldas, 128 Sur2-128 Sur96"
"Calle 130 Sur #49-20, Caldas"
"Calle 132 Sur, Caldas, El Consumo"
"Carrera 50 #134 Sur-80, Caldas"
"Carrera 50, 136 Sur, Caldas, Cementerio"
"Carrera 50 #136 Sur-70, Caldas"
"Carrera 50, 137 Sur, Caldas"
"Carrera 50 #138 Sur-60, Caldas"
"Carrera 50, 140 Sur, Caldas"
"Carrera 50 #143 Sur-10, Caldas"
"Carrera 50, 146 Sur, Sta Barbara-Caldas, Ind Ramo"
"Carrera 50 #146 Sur-30, Caldas"
"Carrera 50, 146 Sur, Sta Barbara-Caldas"
"Carrera 50 #146 Sur-60, Caldas"
"Carrera 50, 146 Sur, Sta Barbara-Caldas, Primavera"
"Carrera 50 #147 Sur-20, Caldas"
"Sena La Salada"
"Carrera 50 #148 Sur-00, Caldas"
"Sta Barbara-Caldas, Estación Primavera"
"Carrera 50 #149 Sur-10, Caldas"
"Sta Barbara-Caldas, Parador Los Lagos"
